RefID,RefereeName,Date,AvailabilityStart,AvailabilityEnd
R01,John Smith,2026-01-15,10:00 am,09:00 pm
R01,John Smith,2026-01-16,10:00 am,09:00 pm
R01,John Smith,2026-01-17,10:00 am,09:00 pm
R01,John Smith,2026-01-20,10:00 am,09:00 pm
R01,John Smith,2026-01-22,10:00 am,09:00 pm
R01,John Smith,2026-01-23,10:00 am,09:00 pm
R01,John Smith,2026-01-24,10:00 am,09:00 pm
R01,John Smith,2026-01-27,10:00 am,09:00 pm
R01,John Smith,2026-01-29,10:00 am,09:00 pm
R01,John Smith,2026-01-30,10:00 am,09:00 pm
R01,John Smith,2026-01-31,10:00 am,09:00 pm
R01,John Smith,2026-02-03,10:00 am,09:00 pm
R01,John Smith,2026-02-05,10:00 am,09:00 pm
R01,John Smith,2026-02-06,10:00 am,09:00 pm
R01,John Smith,2026-02-07,10:00 am,09:00 pm
R01,John Smith,2026-02-10,10:00 am,09:00 pm
R01,John Smith,2026-02-12,10:00 am,09:00 pm
R01,John Smith,2026-02-13,10:00 am,09:00 pm
R01,John Smith,2026-02-14,10:00 am,09:00 pm
R01,John Smith,2026-02-17,10:00 am,09:00 pm
R01,John Smith,2026-02-19,10:00 am,09:00 pm
R01,John Smith,2026-02-20,10:00 am,09:00 pm
R01,John Smith,2026-02-21,10:00 am,09:00 pm
R01,John Smith,2026-02-24,10:00 am,09:00 pm
R01,John Smith,2026-02-26,10:00 am,09:00 pm
R01,John Smith,2026-02-27,10:00 am,09:00 pm
R01,John Smith,2026-02-28,10:00 am,09:00 pm
R01,John Smith,2026-03-03,10:00 am,09:00 pm
R01,John Smith,2026-03-05,10:00 am,09:00 pm
R01,John Smith,2026-03-06,10:00 am,09:00 pm
R01,John Smith,2026-03-07,10:00 am,09:00 pm
R01,John Smith,2026-03-10,10:00 am,09:00 pm
R01,John Smith,2026-03-12,10:00 am,09:00 pm
R01,John Smith,2026-03-13,10:00 am,09:00 pm
R01,John Smith,2026-03-14,10:00 am,09:00 pm
R01,John Smith,2026-03-17,10:00 am,09:00 pm
R01,John Smith,2026-03-19,10:00 am,09:00 pm
R01,John Smith,2026-03-20,10:00 am,09:00 pm
R01,John Smith,2026-03-21,10:00 am,09:00 pm
R01,John Smith,2026-03-24,10:00 am,09:00 pm
R01,John Smith,2026-03-26,10:00 am,09:00 pm
R01,John Smith,2026-03-27,10:00 am,09:00 pm
R01,John Smith,2026-03-28,10:00 am,09:00 pm
R01,John Smith,2026-03-31,10:00 am,09:00 pm
R01,John Smith,2026-04-02,10:00 am,09:00 pm
R01,John Smith,2026-04-03,10:00 am,09:00 pm
R01,John Smith,2026-04-04,10:00 am,09:00 pm
R01,John Smith,2026-04-07,10:00 am,09:00 pm
R01,John Smith,2026-04-09,10:00 am,09:00 pm
R01,John Smith,2026-04-10,10:00 am,09:00 pm
R01,John Smith,2026-04-11,10:00 am,09:00 pm
R01,John Smith,2026-04-14,10:00 am,09:00 pm
R01,John Smith,2026-04-16,10:00 am,09:00 pm
R01,John Smith,2026-04-17,10:00 am,09:00 pm
R01,John Smith,2026-04-18,10:00 am,09:00 pm
R01,John Smith,2026-04-21,10:00 am,09:00 pm
R01,John Smith,2026-04-23,10:00 am,09:00 pm
R01,John Smith,2026-04-24,10:00 am,09:00 pm
R01,John Smith,2026-04-25,10:00 am,09:00 pm
R01,John Smith,2026-04-28,10:00 am,09:00 pm
R01,John Smith,2026-04-30,10:00 am,09:00 pm
R01,John Smith,2026-05-01,10:00 am,09:00 pm
R01,John Smith,2026-05-02,10:00 am,09:00 pm
R01,John Smith,2026-05-05,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-15,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-16,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-17,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-20,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-22,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-23,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-24,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-27,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-29,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-30,10:00 am,09:00 pm
R02,Maria Garcia,2026-01-31,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-03,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-05,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-06,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-07,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-10,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-12,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-13,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-14,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-17,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-19,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-20,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-21,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-24,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-26,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-27,10:00 am,09:00 pm
R02,Maria Garcia,2026-02-28,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-03,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-05,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-06,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-07,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-10,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-12,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-13,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-14,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-17,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-19,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-20,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-21,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-24,10:00 am,09:00 pm
R02,Maria Garcia,2026-03-26,10:00 am,09:00 pm
